Event,Entry
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-224-nunes-vs-pennington,220
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-barboza-vs-lee,221
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-poirier-vs-gaethje,222
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-223-khabib-vs-iaquinta,223
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-werdum-vs-volkov,224
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-222-cyborg-vs-kunitskaya,225
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-emmett-vs-stephens,226
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-cerrone-vs-medeiros,227
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-221-romero-vs-rockhold,228
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-machida-vs-anders,229
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-jacare-vs-brunson-2,230
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-220-miocic-vs-ngannou,231
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-stephens-vs-choi,232
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-219-cyborg-vs-holm,233
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lawler-vs-dos-anjos,234
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-swanson-vs-ortega,235
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-218-holloway-vs-aldo-2,236
https://sports-statistics.com/ufc/ufc-fight-statistics/the-ultimate-fighter-a-new-world-champion-finale,237
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bisping-vs-gastelum,238
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-werdum-vs-tybura,239
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-poirier-vs-pettis,240
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-217-bisping-vs-st-pierre,241
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-brunson-vs-machida,242
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-cerrone-vs-till,243
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-216-ferguson-vs-lee,244
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-saint-preux-vs-okami,245
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rockhold-vs-branch,246
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-215-nunes-vs-shevchenko-2,247
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-volkov-vs-struve,248
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-pettis-vs-moreno,249
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-214-cormier-vs-jones-2,250
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-weidman-vs-gastelum,251
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-nelson-vs-ponzinibbio,252
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-213-romero-vs-whittaker,253
https://sports-statistics.com/ufc/ufc-fight-statistics/the-ultimate-fighter-redemption-finale,254
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-chiesa-vs-lee,255
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holm-vs-correia,256
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lewis-vs-hunt,257
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-212-aldo-vs-holloway,258
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-gustafsson-vs-teixeira,259
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-211-miocic-vs-dos-santos,260
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-swanson-vs-lobov,261
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-on-fox-johnson-vs-reis,262
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-210-cormier-vs-johnson-2,263
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-manuwa-vs-anderson,264
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-belfort-vs-gastelum,265
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-209-woodley-vs-thompson-2,266
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lewis-vs-browne,267
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-208-holm-vs-de-randamie,268
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bermudez-vs-the-korean-zombie,269
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-on-fox-shevchenko-vs-pena,270
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rodriguez-vs-penn,271
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-207-nunes-vs-rousey,272
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-on-fox-vanzant-vs-waterson,273
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-206-holloway-vs-pettis,274
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lewis-vs-abdurakhimov,275
https://sports-statistics.com/ufc/ufc-fight-statistics/the-ultimate-fighter-tournament-of-champions-finale,276
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-whittaker-vs-brunson,277
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bader-vs-nogueira,278
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-mousasi-vs-hall-2,279
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-205-alvarez-vs-mcgregor,280
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-dos-anjos-vs-ferguson,281
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-204-bisping-vs-henderson,282
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lineker-vs-dodson,283
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-cyborg-vs-lansberg,284
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-poirier-vs-johnson,285
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-203-miocic-vs-overeem,286
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-arlovski-vs-barnett,287
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-on-fox-maia-vs-condit,288
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-202-diaz-vs-mcgregor-2,289
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rodriguez-vs-caceres,290
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-201-lawler-vs-woodley,291
